disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;teilnehmer_offiziell_gerankt;avg_elo;name;jahr;kw;bec17type;datum;rang
GD;1;32;16;13;125.0;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;38
GD;6;34;16;10;97.2;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;39
GD;21;36;16;14;94.7;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;40
GD;12;28;16;12;94.4;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;41
GD;47;12;12;7;90.0;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;42
GD;5;18;16;9;87.2;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;43
GD;44;34;16;16;78.8;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;44
GD;14;48;16;10;39.1;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;45
GD;3;18;16;8;29.4;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;46
GS;38;61;16;16;307.3;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;1
GS;48;61;16;16;302.4;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;2
GS;32;55;16;16;279.8;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;3
GS;31;56;16;16;273.1;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;4
GS;9;64;16;16;259.2;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;5
GS;30;51;16;16;258.0;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;6
GS;25;64;16;16;249.6;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;7
GS;13;52;16;16;243.8;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;8
GS;36;60;16;16;232.3;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;9
GS;39;42;16;16;226.9;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;10
GS;34;58;16;16;222.9;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;11
GS;37;53;16;16;219.0;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;12
GS;7;64;16;16;215.9;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;13
GS;27;66;16;16;208.2;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;14
GS;10;64;16;16;200.6;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;15
GS;11;64;16;16;196.6;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;16
GS;19;69;16;16;195.4;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;17
GS;33;42;16;16;192.9;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;18
GS;22;64;16;16;188.2;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;19
GS;20;59;16;16;183.5;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;20
GS;23;64;16;16;179.2;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;21
GS;24;64;16;16;169.5;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;22
GS;40;48;16;16;168.3;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;23
GS;42;50;16;16;164.0;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;24
GS;43;29;16;16;161.3;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;25
GS;41;44;16;16;158.4;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;26
GS;8;61;16;16;156.4;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;27
GS;26;69;16;16;156.1;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;28
GS;35;23;16;16;149.7;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;29
GS;18;64;16;16;148.7;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;30
GS;45;11;11;11;140.0;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;31
GS;29;64;16;16;138.1;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;32
GS;28;54;16;16;128.8;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;33
GS;2;45;16;16;119.2;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;34
GS;46;23;16;16;116.5;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;35
GS;6;38;16;14;107.6;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;36
GS;21;46;16;16;103.8;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;37
GS;15;43;16;16;101.9;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;38
GS;4;24;16;13;95.3;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;39
GS;1;34;16;15;86.5;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;40
GS;12;36;16;15;82.4;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;41
GS;47;18;16;16;80.4;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;42
GS;44;31;16;16;77.5;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;43
GS;14;50;16;11;46.9;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;44
GS;5;19;16;8;40.2;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;45
