disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;avg_elo;name;jahr;kw;bec17type;datum;rang
GD;34;52;16;1211.4;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;29
GD;24;60;16;1209.9;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;30
GD;35;18;16;1209.9;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;30
GD;44;34;16;1209.2;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;31
GD;7;58;16;1207.0;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;32
GD;48;54;16;1207.0;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;32
GD;39;36;16;1205.0;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;33
GD;27;60;16;1204.9;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;34
GD;26;52;16;1204.3;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;35
GD;47;10;10;1204.2;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;36
GD;3;18;16;1202.0;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;37
GD;33;34;16;1201.6;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;38
GD;46;24;16;1200.8;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;39
GD;43;24;16;1200.4;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;40
GD;29;60;16;1200.0;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;41
GD;4;20;16;1198.4;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;42
GD;5;16;16;1197.1;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;43
GD;45;8;8;1186.1;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;44
GS;9;64;16;1325.6;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;1
GS;16;38;16;1284.0;European Youth Olympic Festival 2025;2025;30;U17 IS;2025-07-21;2
GS;22;64;16;1276.2;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;3
GS;11;64;16;1273.6;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;4
GS;18;64;16;1270.0;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;5
GS;32;55;16;1265.9;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;6
GS;8;61;16;1265.7;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;7
GS;42;49;16;1262.0;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;8
GS;10;64;16;1259.6;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;9
GS;31;56;16;1257.6;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;10
GS;38;61;16;1251.8;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;11
GS;30;51;16;1248.1;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;12
GS;7;64;16;1247.1;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;13
GS;19;69;16;1241.9;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;14
GS;25;64;16;1234.8;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;15
GS;23;64;16;1233.4;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;16
GS;21;46;16;1233.2;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;17
GS;43;26;16;1233.2;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;17
GS;24;64;16;1232.3;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;18
GS;36;59;16;1231.3;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;19
GS;20;59;16;1230.7;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;20
GS;48;61;16;1230.3;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;21
GS;39;42;16;1227.9;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;22
GS;1;34;16;1225.7;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;23
GS;6;38;16;1225.1;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;24
GS;13;52;16;1224.9;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;25
GS;2;45;16;1220.9;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;26
GS;37;52;16;1220.6;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;27
GS;15;43;16;1220.1;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;28
GS;35;23;16;1219.7;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;29
GS;34;58;16;1218.0;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;30
GS;14;50;16;1217.9;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;31
GS;26;69;16;1216.9;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;32
GS;33;42;16;1216.6;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;33
GS;40;48;16;1216.4;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;34
GS;28;54;16;1215.2;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;35
GS;44;31;16;1213.9;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;36
GS;41;44;16;1213.3;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;37
GS;4;24;16;1213.0;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;38
GS;27;66;16;1206.3;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;39
GS;5;18;16;1205.7;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;40
GS;12;36;16;1204.1;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;41
GS;47;18;16;1203.9;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;42
GS;46;23;16;1202.7;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;43
GS;3;22;16;1200.4;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;44
GS;29;64;16;1200.0;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;45
GS;45;11;11;1183.9;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;46
XD;9;96;16;1334.1;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;1
XD;16;74;16;1297.5;European Youth Olympic Festival 2025;2025;30;U17 IS;2025-07-21;2
XD;10;96;16;1294.9;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;3
XD;11;96;16;1287.9;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;4
XD;42;62;16;1286.7;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;5
XD;32;76;16;1286.1;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;6
XD;19;118;16;1285.3;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;7
XD;7;96;16;1284.7;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;8
XD;8;90;16;1269.6;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;9
XD;18;96;16;1267.1;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;10
XD;22;96;16;1258.9;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;11
XD;2;78;16;1257.3;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;12
XD;5;42;16;1250.8;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;13
XD;1;64;16;1244.4;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;14
XD;31;84;16;1240.3;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;15
XD;20;74;16;1239.9;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;16
XD;12;50;16;1238.6;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;17
XD;37;86;16;1238.3;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;18
XD;14;70;16;1237.8;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;19
XD;13;82;16;1235.5;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;20
XD;38;86;16;1233.8;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;21
XD;30;74;16;1233.0;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;22
XD;25;96;16;1229.8;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;23
XD;15;72;16;1226.2;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;24
XD;23;96;16;1226.0;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;25
XD;36;96;16;1225.5;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;26
XD;41;66;16;1224.4;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;27
XD;39;62;16;1223.4;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;28
XD;47;18;16;1222.4;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;29
XD;21;58;16;1222.2;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;30
XD;24;96;16;1221.9;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;31
XD;48;84;16;1221.3;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;32
XD;44;36;16;1221.3;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;32
XD;33;68;16;1220.0;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;33
XD;26;98;16;1219.7;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;34
XD;43;34;16;1219.6;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;35
XD;28;88;16;1212.3;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;36
XD;35;36;16;1211.6;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;37
XD;40;72;16;1210.6;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;38
XD;34;76;16;1210.2;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;39
XD;27;100;16;1209.7;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;40
XD;46;36;16;1207.6;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;41
XD;6;54;16;1204.6;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;42
XD;3;40;16;1202.0;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;43
XD;4;30;16;1200.1;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;44
XD;29;96;16;1200.0;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;45
XD;45;18;16;1196.3;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;46
